year,team,rank
1933,Hawthorn,11
1933,Essendon,12
1934,Richmond,1
1934,Geelong,2
1934,Sydney,3
1934,Collingwood,4
1934,Carlton,5
1934,Melbourne,6
1934,St Kilda,7
1934,Western Bulldogs,9
1934,Essendon,10
1934,Hawthorn,11
1934,North Melbourne,12
1935,Sydney,1
1935,Collingwood,2
1935,Carlton,3
1935,Richmond,4
1935,St Kilda,5
1935,Melbourne,6
1935,Essendon,8
1935,Geelong,9
1935,Hawthorn,10
1935,Western Bulldogs,11
1935,North Melbourne,12
1936,Sydney,1
1936,Collingwood,2
1936,Carlton,3
1936,Melbourne,4
1936,Geelong,5
1936,Richmond,6
1936,St Kilda,7
1936,Essendon,8
1936,Hawthorn,9
1936,Western Bulldogs,10
1936,North Melbourne,11
1937,Geelong,1
1937,Melbourne,2
1937,Collingwood,3
1937,Richmond,4
1937,Carlton,5
1937,St Kilda,6
1937,Hawthorn,8
1937,Sydney,9
1937,Essendon,10
1937,Western Bulldogs,11
1937,North Melbourne,12
1938,Carlton,1
1938,Geelong,2
1938,Western Bulldogs,3
1938,Collingwood,4
1938,Melbourne,5
1938,Richmond,6
1938,Essendon,7
1938,St Kilda,8
1938,North Melbourne,9
1938,Hawthorn,11
1938,Sydney,12
1939,Melbourne,1
1939,Collingwood,2
1939,Richmond,3
1939,St Kilda,4
1939,Carlton,5
1939,Essendon,6
1939,Geelong,7
1939,North Melbourne,9
1939,Hawthorn,10
1939,Western Bulldogs,11
1939,Sydney,12
1940,Melbourne,1
1940,Richmond,2
1940,Essendon,3
1940,Geelong,4
1940,Carlton,5
1940,Western Bulldogs,6
1940,Collingwood,8
1940,Hawthorn,9
1940,Sydney,10
1940,St Kilda,11
1940,North Melbourne,12
1941,Carlton,1
1941,Melbourne,2
1941,Richmond,3
1941,Essendon,4
1941,Collingwood,5
1941,Western Bulldogs,6
1941,Sydney,8
1941,North Melbourne,9
1941,Geelong,10
1941,St Kilda,11
1941,Hawthorn,12
1942,Essendon,1
1942,Richmond,2
1942,Sydney,3
1942,Western Bulldogs,4
1942,Carlton,5
1942,St Kilda,7
1942,Melbourne,8
1942,North Melbourne,9
1942,Collingwood,10
1942,Hawthorn,11
1943,Richmond,1
1943,Essendon,2
1943,Carlton,4
1943,Hawthorn,5
1943,Western Bulldogs,6
1943,Melbourne,7
1943,Sydney,8
1943,North Melbourne,9
1943,Collingwood,10
1943,St Kilda,11
1944,Richmond,1
1944,Essendon,3
1944,Western Bulldogs,4
1944,Carlton,5
1944,North Melbourne,6
1944,Sydney,7
1944,Melbourne,8
1944,St Kilda,9
1944,Collingwood,10
1944,Hawthorn,11
1944,Geelong,12
1945,Sydney,1
1945,Collingwood,2
1945,North Melbourne,3
1945,Carlton,4
1945,Western Bulldogs,5
1945,Richmond,7
1945,Essendon,8
1945,Melbourne,9
1945,Hawthorn,10
1945,Geelong,11
1945,St Kilda,12
1946,Essendon,1
1946,Collingwood,2
1946,Western Bulldogs,3
1946,Melbourne,4
1946,Richmond,5
1946,Carlton,6
1946,Sydney,7
1946,North Melbourne,9
1946,Geelong,10
1946,St Kilda,11
1946,Hawthorn,12
1947,Carlton,1
1947,Essendon,2
1947,Richmond,4
1947,Collingwood,5
1947,Melbourne,6
1947,Geelong,7
1947,Sydney,8
1947,Western Bulldogs,9
1947,North Melbourne,10
1947,Hawthorn,11
1947,St Kilda,12
1948,Essendon,1
1948,Melbourne,2
1948,Collingwood,3
1948,Western Bulldogs,4
1948,Richmond,5
1948,Carlton,6
1948,North Melbourne,8
1948,Geelong,9
1948,Sydney,10
1948,Hawthorn,11
1948,St Kilda,12
1949,North Melbourne,1
1949,Carlton,2
1949,Collingwood,3
1949,Essendon,4
1949,Melbourne,5
1949,Richmond,6
1949,Geelong,8
1949,Western Bulldogs,9
1949,Sydney,10
1949,St Kilda,11
1949,Hawthorn,12
1950,Essendon,1
1950,North Melbourne,2
1950,Melbourne,3
1950,Geelong,4
1950,Richmond,6
1950,Collingwood,7
1950,Carlton,8
1950,St Kilda,9
1950,Western Bulldogs,10
1950,Sydney,11
1950,Hawthorn,12
1951,Geelong,1
1951,Collingwood,2
1951,Essendon,3
1951,Western Bulldogs,4
1951,Richmond,6
1951,Carlton,7
1951,Sydney,8
1951,North Melbourne,9
1951,St Kilda,10
1951,Hawthorn,11
1951,Melbourne,12
1952,Geelong,1
1952,Collingwood,2
1952,Carlton,4
1952,Sydney,5
1952,Melbourne,6
1952,North Melbourne,7
1952,Essendon,8
1952,Richmond,9
1952,Western Bulldogs,10
1952,Hawthorn,11
1952,St Kilda,12
1953,Geelong,1
1953,Collingwood,2
1953,Western Bulldogs,3
1953,Essendon,4
1953,Carlton,5
1953,North Melbourne,7
1953,Sydney,8
1953,St Kilda,9
1953,Richmond,10
1953,Melbourne,11
1953,Hawthorn,12
1954,Geelong,1
1954,Western Bulldogs,2
1954,North Melbourne,3
1954,Melbourne,4
1954,Richmond,5
1954,Essendon,6
1954,Collingwood,7
1954,Carlton,8
1954,Hawthorn,9
1954,Sydney,10
1954,St Kilda,12
1955,Melbourne,1
1955,Collingwood,2
1955,Geelong,3
1955,Essendon,4
1955,Western Bulldogs,5
1955,Richmond,6
1955,Carlton,7
1955,Hawthorn,8
1955,Sydney,10
1955,North Melbourne,11
1955,St Kilda,12
1956,Melbourne,1
1956,Collingwood,2
1956,Geelong,3
1956,Western Bulldogs,4
1956,Carlton,5
1956,Essendon,6
1956,Hawthorn,7
1956,Sydney,9
1956,Richmond,10
1956,St Kilda,11
1956,North Melbourne,12
1957,Melbourne,1
1957,Essendon,2
1957,Hawthorn,3
1957,Carlton,4
1957,Collingwood,5
1957,Western Bulldogs,6
1957,Richmond,7
1957,North Melbourne,8
1957,St Kilda,9
1957,Sydney,10
1957,Geelong,12
1958,Melbourne,1
1958,Collingwood,2
1958,North Melbourne,4
1958,Essendon,5
1958,Hawthorn,6
1958,Carlton,7
1958,St Kilda,8
1958,Sydney,9
1958,Richmond,10
1958,Western Bulldogs,11
1958,Geelong,12
1959,Melbourne,1
1959,Carlton,2
1959,Collingwood,3
